ID,MEMBER ID,PROJECT,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL,JAN PAYED DATE,JAN CON NO,JAN REMARKS,FEB PAYED DATE,FEB CON NO,FEB REMARKS,MAR PAYED DATE,MAR CON NO,MAR REMARKS,APR PAYED DATE,APR CON NO,APR REMARKS,MAY PAYED DATE,MAY CON NO,MAY REMARKS,JUN PAYED DATE,JUN CON NO,JUN REMARKS,JULY PAYED DATE,JUL CON NO,JUL REMARKS,AUG PAYED DATE,AUG CON NO,AUG REMARKS,SEP PAYED DATE,SEP CON NO,SEP REMARKS,OCT PAYED DATE,OCT CON NO,OCT REMARKS,NOV PAYED DATE,NOV CON NO,NOV REMARKS,DEC PAYED DATE,DEC CON NO,DEC REMARKS,NOT COUNTED,NOTES,Date Created,Created by,Date Updated,Updated By,JANUARY PENALTY,FEBRUARY PENALTY,MARCH PENALTY,APRIL PENALTY,MAY PENALTY,JUNE PENALTY,JULY PENALTY,AUGUST PENALTY,SEPTEMBER PENALTY,OCTOBER PENALTY,NOVEMBER PENALTY,DECEMBER PENALTY,TOTAL PENALTY,JANUARY_PAYMENT_DATE,FEBRUARY_PAYMENT_DATE,MARCH_PAYMENT_DATE,APRIL_PAYMENT_DATE,MAY_PAYMENT_DATE,JUNE_PAYMENT_DATE,JULY_PAYMENT_DATE,AUGUST_PAYMENT_DATE,SEPTEMBER_PAYMENT_DATE,OCTOBER_PAYMENT_DATE,NOVEMBER_PAYMENT_DATE,DECEMBER_PAYMENT_DATE,FLAG_PAYMENT_MISSING_DATE,FLAG_MULTIPLE_RECEIPTS,FLAG_INVALID_YEAR
1,88,MASAO,2024,0.0,0,0,0,0,2467,2467,2467,2467,2467,2467,0,14802.0,,,,,,,,,,,,,,,,27,1071,,30,1072,,27,1038,,29,1412,,28,1447,,27,1534,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
2,78,MASAO,2024,0.0,0,0,0,0,2000,2000,0,2000,4000,2000,0,12000.0,,,,,,,,,,,,,,,,27,834,,30,1073,,,,,29,1418,,28,1468,,27,1542,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,,2024-09-29,2024-10-28,2024-11-27,,False,False,False
3,96,MASAO,2024,0.0,0,0,0,4000,2000,2000,2000,2000,2000,2000,0,16000.0,,,,,,,,,,,,,16,"446, 651",2000 OR 6511SIGNED CONTRACT,27,833,,30,1089,,27,1031,,29,1437,Sep-24,28,1446,,27,1504,OK,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,2024-05-16,2024-06-27,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,True,False
4,508,MASAO,2024,0.0,0,0,0,4420,4420,4420,4500,4500,4500,4500,0,31260.0,,,,,,,,,,,,,20,669,SIGNED CONTRACT,27,841,,30,1086,,27,1004,,29,1404,,28,1442,,27,1507,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,2024-05-20,2024-06-27,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
5,72,MASAO,2024,0.0,0,0,0,6700,2300,2300,0,2300,2300,2300,0,18200.0,,,,,,,,,,,,,20,670,SIGNED CONTRACT,14,684,,30,1080,,,,,29,1420,,28,1318,,27,1523,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,2024-05-20,2024-06-14,2024-07-30,,2024-09-29,2024-10-28,2024-11-27,,False,False,False
6,69,MASAO,2024,0.0,0,0,0,0,8000,8000,8000,8000,0,8000,0,40000.0,,,,,,,,,,,,,,,,27,832,,30,1095,,27,1023,,29,1441,,,,,27,1518,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,2024-08-27,2024-09-29,,2024-11-27,,False,False,False
7,94,MASAO,2024,0.0,0,0,0,0,2507,756,757,2507,2507,2507,0,11541.0,,,,,,,,,,,,,,,,27,842,,30,1083,2506-1750(PINASOK SA PF),27,1034,2507-1750(PINASOK SA PF),29,1431,,28,1492,,27,1547,,,,,0,,,,2024-11-29,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
8,64,MASAO,2024,0.0,0,0,0,0,1200,1200,0,1200,1200,1200,0,6000.0,,,,,,,,,,,,,,,,27,845,,30,1096,,,,,29,1429,,28,1483,,27,1521,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,,2024-09-29,2024-10-28,2024-11-27,,False,False,False
9,60,MASAO,2024,0.0,0,0,0,0,0,15200,15200,15200,15200,15200,0,76000.0,,,,,,,,,,,,,,,,,,,30,1086,,27,1027,,29,1424,,28,1477,,27,1543,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
10,510,MASAO,2024,0.0,0,0,0,0,0,0,0,0,3500,3500,0,7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1473,START NG HULOG/NEW,27,1503,OK,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2024-10-28,2024-11-27,,False,False,False
11,75,MASAO,2024,0.0,0,0,0,0,0,0,0,0,0,4000,0,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1530,OK,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2024-11-27,,False,False,False
12,92,MASAO,2024,0.0,0,0,0,100000,3500,3500,3500,3500,3500,3500,0,121000.0,,,,,,,,,,,,,16,653,,27,850,,30,1082,,27,1014,,29,1408,,28,1500,,27,1546,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,2024-05-16,2024-06-27,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
13,532,MASAO,2024,0.0,0,0,0,0,0,0,0,0,2890,2890,0,5780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1466,new contract/first hulog,27,1535,OK,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2024-10-28,2024-11-27,,False,False,False
14,91,MASAO,2024,0.0,0,0,0,0,0,0,4200,0,6300,2100,0,12600.0,,,,,,,,,,,,,,,,,,,,,,27,1017,,,,,28,1480,,27,1512,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2024-08-27,,2024-10-28,2024-11-27,,False,False,False
15,100,MASAO,2024,0.0,0,0,0,5000,0,10000,8000,8000,8000,8000,0,47000.0,,,,,,,,,,,,,15,449,SIGNED CONTRACT/HALF NASA P.FEE,,,,30,1092,,27,1015,,29,1432,,28,1471,,27,1517,,,,,0,,,,2024-11-29,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,2024-05-15,,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
16,505,MASAO,2024,0.0,0,0,0,0,4000,4000,4000,0,4000,4000,0,20000.0,,,,,,,,,,,,,,,,4,681,,12,1055,,27,1022,,,,,28,1482,,27,1522,OK,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-04,2024-07-12,2024-08-27,,2024-10-28,2024-11-27,,False,False,False
17,67,MASAO,2024,0.0,0,0,0,5000,2000,2000,2000,2000,2000,2000,0,17000.0,,,,,,,,,,,,,15,438,,27,697,,30,1067,,27,1006,,29,1405,,28,1445,,27,1537,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,2024-05-15,2024-06-27,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
18,87,MASAO,2024,0.0,0,0,0,0,2000,2000,4000,3000,4000,1000,0,16000.0,,,,,,,,,,,,,,,,27,700,,30,1062,,27,1001,,29,1422,,28,1464,,27,1527,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
19,48,MASAO,2024,0.0,0,0,0,0,0,7600,8000,8000,8000,8000,0,39600.0,,,,,,,,,,,,,,,,,,,30,1088,KINUHANAN SA PROCESSING FEE,27,1018,,29,1411,,28,1476,,27,1544,OK,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
20,97,MASAO,2024,0.0,0,0,0,0,3000,3000,2000,2000,2000,2000,0,14000.0,,,,,,,,,,,,,,,,27,698,,30,1060,,27,1002,,29,1402,,28,1443,,27,1506,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
21,55,MASAO,2024,0.0,0,0,0,0,1750,0,1750,0,1750,1750,0,7000.0,,,,,,,,,,,,,,,,27,847,,,,,27,1010,,,,,28,1498,,27,1520,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,,2024-08-27,,2024-10-28,2024-11-27,,False,False,False
22,80,MASAO,2024,0.0,0,0,0,0,0,3600,0,4000,0,0,0,7600.0,,,,,,,,,,,,,,,,,,,30,1100,YUNG 400 NILAGAY SA P.FEE,,,,29,1415,,,,,,,,,,,0,,,,2024-11-29,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2024-07-30,,2024-09-29,,,,False,False,False
23,103,MASAO,2024,0.0,0,0,0,0,4000,0,0,0,4000,4000,0,12000.0,,,,,,,,,,,,,,,,27,849,,,,,,,,,,,28,1478,,27,1540,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,,,,2024-10-28,2024-11-27,,False,False,False
24,71,MASAO,2024,0.0,0,0,0,4404,1500,1500,0,1500,1500,1500,0,11904.0,,,,,,,,,,,,,16,660,"SIGNED CONTRACT , JUNE-AUG 2024",14,683,,30,1091,,,,,29,1440,,28,1479,,27,1524,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,2024-05-16,2024-06-14,2024-07-30,,2024-09-29,2024-10-28,2024-11-27,,False,False,False
25,61,MASAO,2024,0.0,0,0,0,0,5000,5000,0,8000,5000,5000,0,28000.0,,,,,,,,,,,,,,,,27,695,,30,1075,,,,,29,1439,,28,1489,,27,1531,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,,2024-09-29,2024-10-28,2024-11-27,,False,False,False
26,504,MASAO,2024,0.0,0,0,0,3000,0,3000,3000,3000,3000,3000,0,18000.0,,,,,,,,,,,,,24,674,,,,,12,1053,,27,1024,,29,1416,,28,1319,,27,1510,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,2024-05-24,,2024-07-12,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
27,50,MASAO,2024,0.0,0,0,0,0,500,2500,2500,2500,2500,2500,0,13000.0,,,,,,,,,,,,,,,,27,836,YUNG 2K DAGDAG SA P.FEE,30,1070,,27,1032,,29,1428,,28,1496,,27,1525,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
28,85,MASAO,2024,0.0,0,0,0,0,3093,3100,3100,3100,3000,3100,0,18493.0,,,,,,,,,,,,,,,,27,840,,30,1061,,27,1037,,29,1410,,28,1488,,27,1532,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
29,49,MASAO,2024,0.0,0,0,0,0,1350,0,0,0,1200,2600,0,5150.0,,,,,,,,,,,,,,,,27,846,,,,,,,,,,,28,1474,,27,1541,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,,,,2024-10-28,2024-11-27,,False,False,False
30,89,MASAO,2024,0.0,0,0,0,0,700,0,0,0,0,0,0,700.0,,,,,,,,,,,,,,,,27,691,LESS SA P.FEE YUNG 1500( 2200 ),,,,,,,,,,,,,,,,,,,0,,,,2024-11-29,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,,,,,,,False,False,False
31,506,MASAO,2024,0.0,0,0,0,0,0,0,0,0,1200,2300,0,3500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1472,new contract/first hulog,27,1513,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2024-10-28,2024-11-27,,False,False,False
32,65,MASAO,2024,0.0,0,0,0,0,0,5000,3500,2000,2000,3000,0,15500.0,,,,,,,,,,,,,,,,,,,30,1093,,27,1019,,29,1419,,28,1469,,27,1511,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
33,59,MASAO,2024,0.0,0,0,0,2000,5000,4000,2000,5000,3000,3000,0,24000.0,,,,,,,,,,,,,16,652,SIGNED CONTRACT,27,848,,30,1076,,27,1020,,29,1413,,28,1448,,27,1519,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,2024-05-16,2024-06-27,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
34,95,MASAO,2024,3000.0,0,0,0,0,7200,5150,5500,0,0,10000,0,30850.0,17,193,sobra sa processing fee,,,,,,,,,,,,,27,837,,30,1099,,27,1009,,,,,,,,27,1514,OK,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,2024-01-17,,,,,2024-06-27,2024-07-30,2024-08-27,,,2024-11-27,,False,False,False
35,54,MASAO,2024,0.0,0,0,0,500,780,1300,0,1280,1560,1000,0,6420.0,,,,,,,,,,,,,16,655,4500 TO PF SIGNED CONTRACT,27,699,,30,1068,,,,,29,1434,,28,1491,,27,1509,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,2024-05-16,2024-06-27,2024-07-30,,2024-09-29,2024-10-28,2024-11-27,,False,False,False
36,46,MASAO,2024,0.0,0,0,0,0,3000,3000,3000,3000,3000,3000,0,18000.0,,,,,,,,,,,,,,,,27,835,,30,1084,,27,1029,,29,1435,,28,1499,,27,1508,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,2024-08-27,2024-09-29,2024-10-28,2024-11-27,,False,False,False
37,316,BANCASI,2024,0.0,0,0,0,0,1500,1500,0,0,2500,1000,0,6500.0,,,,,,,,,,,,,,,,2,740,OK,30,998,OK,,,,,,,28,1315,OK,27,1387,OK,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-02,2024-07-30,,,2024-10-28,2024-11-27,,False,False,False
38,312,BANCASI,2024,0.0,0,0,0,0,0,1000,0,0,1000,2000,0,4000.0,,,,,,,,,,,,,,,,,,,30,753,,,,,,,,28,1312,,27,1382,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2024-07-30,,,2024-10-28,2024-11-27,,False,False,False
39,313,BANCASI,2024,500.0,0,0,0,0,1000,0,0,0,0,3000,0,4500.0,19,49,,,,,,,,,,,,,,27,908,,,,,,,,,,,,,,27,1379,OK,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,2024-01-19,,,,,2024-06-27,,,,,2024-11-27,,False,False,False
40,319,BANCASI,2024,0.0,0,0,0,0,5000,5000,0,0,20000,10000,0,40000.0,,,,,,,,,,,,,,,,27,924,,30,768,,,,,,,,28,"12,971,303",,27,1384,OK,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,,,2024-10-28,2024-11-27,,False,True,False
41,591,BANCASI,2024,0.0,0,0,0,0,5310,5310,0,0,5310,5310,0,21240.0,,,,,,,,,,,,,,,,27,942,,30,749,,,,,,,,4,1304,,27,1368,ok,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,,,2024-10-04,2024-11-27,,False,False,False
42,594,BANCASI,2024,0.0,0,0,0,0,2376,2376,0,0,2376,2376,0,9504.0,,,,,,,,,,,,,,,,27,932,,30,770,,,,,,,,28,1309,,27,1383,,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,,,2024-10-28,2024-11-27,,False,False,False
43,317,BANCASI,2024,0.0,0,0,0,0,2688,2688,0,0,5376,2688,0,13440.0,,,,,,,,,,,,,,,,27,928,,30,774,,,,,,,,,"13,001,307",,27,1372,ok,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2024-06-27,2024-07-30,,,,2024-11-27,,True,True,False
44,327,BANCASI,2024,0.0,0,0,0,0,0,0,0,0,0,2000,0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1376,OK,,,,0,,,,2024-11-28,Anna,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2024-11-27,,False,False,False
