MEMFEE ID,MEMBER,AMOUNT,PAYED DATE,CONTROL NO,REMARKS,DATE Created,Creadted By,Date Updated,Updated By
3,79,400,28/02/2023,,,13/08/2024,,,
4,1819,400,,,,13/08/2024,,,
5,62,400,02/02/2023,,,13/08/2024,,,
6,86,400,02/02/2023,,,13/08/2024,,,
7,72,400,02/02/2023,,,13/08/2024,,,
8,71,400,02/02/2023,,,13/08/2024,,,
9,75,400,02/02/2023,,,13/08/2024,,,
10,60,400,02/02/2023,,,13/08/2024,,,
11,504,400,02/02/2023,,,13/08/2024,,,
12,93,400,02/02/2023,,,13/08/2024,,,
13,64,400,02/02/2023,,,13/08/2024,,,
14,542,400,02/02/2023,,,13/08/2024,,,
15,76,400,02/02/2023,,,13/08/2024,,,
16,537,400,02/02/2023,,,13/08/2024,,,
17,92,400,02/02/2023,,,13/08/2024,,,
18,58,400,02/02/2023,,,13/08/2024,,,
19,68,400,12/03/2023,005,,13/08/2024,,,
20,101,400,12/03/2023,004,,13/08/2024,,,
21,68,400,12/03/2023,005,,13/08/2024,,,
22,1820,400,12/03/2023,006,,13/08/2024,,,
23,77,400,12/03/2023,007,,13/08/2024,,,
24,56,400,12/03/2023,008,,13/08/2024,,,
25,80,400,12/03/2023,009,,13/08/2024,,,
26,509,400,12/03/2023,010,,13/08/2024,,,
27,82,400,12/03/2023,011,,13/08/2024,,,
28,541,400,12/03/2023,012,,13/08/2024,,,
29,96,400,12/03/2023,013,,13/08/2024,,,
30,67,400,12/03/2023,014,,13/08/2024,,,
31,520,400,09/03/2023,015,,13/08/2024,,,
32,87,400,12/03/2023,016,,13/08/2024,,,
33,540,400,12/03/2023,017,,13/08/2024,,,
34,57,400,12/03/2023,018,,13/08/2024,,,
35,99,400,12/03/2023,017,,13/08/2024,,,
36,586,400,12/03/2023,019,,13/08/2024,,,
37,544,400,12/03/2023,020,,13/08/2024,,,
38,508,400,12/03/2023,021,,13/08/2024,,,
39,78,400,12/03/2023,022,,13/08/2024,,,
40,1821,400,12/03/2023,023,,13/08/2024,,,
41,498,400,12/03/2023,024,,13/08/2024,,,
42,59,400,12/03/2023,025,,13/08/2024,,,
43,73,400,12/03/2023,026,,13/08/2024,,,
44,89,400,12/03/2023,027,,13/08/2024,,,
45,505,400,12/03/2023,028,,13/08/2024,,,
46,51,400,20/03/2023,029,,13/08/2024,,,
47,1822,400,19/03/2023,052,,13/08/2024,,,
48,1823,400,19/03/2023,053,,13/08/2024,,,
49,103,400,19/03/2023,054,,13/08/2024,,,
50,1824,400,19/03/2023,055,,13/08/2024,,,
51,532,400,19/03/2023,056,,13/08/2024,,,
52,1825,400,19/03/2023,057,,13/08/2024,,,
53,94,400,19/03/2023,058,,13/08/2024,,,
54,54,400,19/03/2023,059,,13/08/2024,,,
55,46,400,19/03/2023,060,,13/08/2024,,,
56,49,400,19/03/2023,061,,13/08/2024,,,
57,61,400,19/03/2023,062,,13/08/2024,,,
58,97,400,19/03/2023,064,,13/08/2024,,,
59,83,400,19/03/2023,065,,13/08/2024,,,
60,47,400,19/03/2023,066,,13/08/2024,,,
61,507,400,14/03/2023,067,,13/08/2024,,,
62,91,400,19/03/2023,068,,13/08/2024,,,
63,506,400,19/03/2023,069,,13/08/2024,,,
64,65,400,19/03/2023,070,,13/08/2024,,,
65,84,400,19/03/2023,071,,13/08/2024,,,
66,69,400,19/03/2023,072,,13/08/2024,,,
67,1826,400,19/03/2023,063,,13/08/2024,,,
68,85,400,15/04/2023,33,,13/08/2024,,,
69,501,400,15/04/2023,34,,13/08/2024,,,
70,70,400,01/05/2023,41,,13/08/2024,,,
71,510,400,15/05/2023,50,,13/08/2024,,,
72,81,400,26/08/2023,114,,13/08/2024,,,
73,100,400,09/07/2023,78,,13/08/2024,,,
74,55,400,15/04/2023,39,,13/08/2024,,,
75,52,400,15/04/2023,40,,13/08/2024,,,
76,1828,400,31/08/2023,,,13/08/2024,,,
78,1829,400,31/08/2023,032,,13/08/2024,,,
79,1480,400,16/05/2024,654,,13/08/2024,,,
80,1830,400,16/05/2024,657,,13/08/2024,,,
81,547,400,16/05/2024,658,,13/08/2024,,,
82,45,400,16/05/2024,665,,13/08/2024,,,
83,499,400,16/05/2024,666,,13/08/2024,,,
84,90,400,24/05/2024,672,,13/08/2024,,,
85,66,400,24/05/2024,673,,13/08/2024,,,
86,53,400,27/05/2024,678,,13/08/2024,,,
87,556,400,,,,13/08/2024,,,
88,68,0,,,,15/08/2024,,,
89,1478,400,03/07/2024,1050,,30/08/2024,,,
90,1858,400,22/07/2024,967,,18/09/2024,,,
91,1875,400,19/03/2023,060,,09/10/2024,,,
92,48,400,15/04/2023,038,,09/10/2024,,,
93,1849,400,26/08/2023,001,,09/10/2024,,,
94,356,0,,,,09/10/2024,,,
95,553,400,26/08/2023,008,,09/10/2024,,,
97,1475,400,15/06/2023,004,,09/10/2024,,,
98,1848,400,15/06/2023,005,,09/10/2024,,,
99,1837,400,15/06/2023,006,,09/10/2024,,,
100,341,400,04/08/2023,022,,14/10/2024,,,
101,338,400,10/08/2023,035,,14/10/2024,,,
102,1883,400,18/08/2023,071,,14/10/2024,,,
103,1884,400,30/08/2023,012,,14/10/2024,,,
104,1887,400,31/08/2023,026,,14/10/2024,,,
105,328,400,12/09/2023,051,,14/10/2024,,,
106,1722,400,09/11/2023,103,,14/10/2024,,,
107,1743,400,09/11/2023,104,,14/10/2024,,,
108,1891,400,09/11/2023,105,,14/10/2024,,,
109,322,400,19/01/2024,303,"DEC.19,2023",16/10/2024,,,
110,1474,400,14/05/2024,570,,16/10/2024,,,
111,1700,400,09/01/2024,181,,16/10/2024,,,
112,1806,400,20/02/2023,773,,17/10/2024,,,
113,1805,400,30/03/2023,614,,18/10/2024,,,
114,1780,400,03/04/2023,621,,18/10/2024,,,
115,1742,400,10/04/2023,638,,18/10/2024,,,
116,1799,400,13/04/2023,641,,18/10/2024,,,
117,1714,400,13/04/2023,642,,18/10/2024,,,
118,1775,400,17/04/2023,650,,18/10/2024,,,
119,1671,400,22/04/2023,654,,18/10/2024,,,
120,1771,400,25/04/2023,656,,18/10/2024,,,
121,1892,400,25/04/2023,657,,18/10/2024,,,
122,1740,700,28/05/2022,"312,662",,21/10/2024,,,
123,1658,400,05/05/2023,664,,21/10/2024,,,
124,1744,400,05/05/2023,665,,21/10/2024,,,
125,1690,400,06/05/2023,667,,21/10/2024,,,
126,1735,400,08/05/2023,668,,21/10/2024,,,
127,1733,400,08/05/2023,670,,21/10/2024,,,
128,1818,400,08/05/2023,671,,21/10/2024,,,
129,1711,400,08/05/2023,669,,21/10/2024,,,
130,1797,400,10/07/2023,778,,21/10/2024,,,
131,1478,400,03/07/2024,1050,,21/10/2024,,,
132,1903,400,10/05/2024,612,,21/10/2024,,,
133,1831,400,07/06/2024,639,"blk 1 , lot 12",21/10/2024,,,
134,1831,400,07/06/2024,639,"blk 1 , lot 13",21/10/2024,,,
135,1836,400,18/06/2024,645,,21/10/2024,,,
137,1763,300,13/02/2021,,,28/10/2024,,,
138,1930,300,13/02/2021,,,28/10/2024,,,
139,1895,300,13/02/2021,,,28/10/2024,,,
140,1718,800,29/01/2021,131,,28/10/2024,,,
141,1931,300,29/01/2021,135,,28/10/2024,,,
142,1940,400,29/01/2021,138,WITH SEMINAR FEE,28/10/2024,,,
143,1934,400,29/01/2021,139,WITH SEMINAR FEE,28/10/2024,,,
144,1930,300,13/02/2021,142,,28/10/2024,,,
145,1763,300,13/02/2021,142,,28/10/2024,,,
146,1764,300,13/02/2021,142,,28/10/2024,,,
147,1942,300,29/04/2022,249,,29/10/2024,,,
148,1794,400,29/04/2022,252,,29/10/2024,,,
149,1752,300,29/04/2022,260,,29/10/2024,,,
150,1796,300,30/04/2022,262,,29/10/2024,,,
151,1731,300,08/05/2022,,,29/10/2024,,,
152,1802,300,08/05/2022,,,29/10/2024,,,
